,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,5DAvg,10DAvg,20DAvg,RSI,TR,ATR,BolU,BolL,EMAs,EMAl,MACD,StoK,StoD,DMP,DMM,DI14P,DI14N,ADX,index,Revenue,COGS,GrossProfit,OperatingIncome,PreTaxIncome,IncomeAfterTax,IncomeFromContinuousOperations,NetIncome,EBITDA,SharesOutstanding,Basic EPS,EPS,Current,D/E,ITR,ROE,ROA,BVPS,OCFPS,FCFPS
12,2020-04-27 00:00:00-04:00,287.9908358,288.2116433,282.9679079,284.0626526,2287300,0,0,282.5134521,286.2383301,,,5.243735325,,,,,,,,46.94102874,2.263109466,0,,,,2/28/2022,51904,45517,6387,1812,1801,1320,1320,1299,2248,444,2.93,2.92,1.0323,0.3333,2.7611,6.6079,2.0926,45.0642,0.8961,-0.7272
13,2020-04-28 00:00:00-04:00,285.9485062,286.3532871,279.9228352,280.5392151,2425900,0,0,283.1794983,285.3928925,,,6.430451862,11.94740787,295.8878599,272.1165215,,,,29.4213839,7.43629051,0,0,,,,11/30/2021,50363,43952,6411,1693,1696,1345,1345,1324,2125,443,2.99,2.98,1.0152,0.3929,2.5943,7.0789,2.0967,42.8474,7.4279,4.955
14,2020-04-29 00:00:00-04:00,280.5392527,283.9706543,277.0158224,282.5079346,3667700,0,0,282.7507935,285.1003479,,50.68911729,6.954831877,7.721682268,295.9067505,272.2448172,285.1003479,285.1003479,0,37.96436755,49.05502016,0,0,19.85353155,11.1226762,28.18568181,8/31/2021,62675,54733,7942,2275,2291,1694,1694,1670,2834,443,3.77,3.76,1.0022,0.4144,3.8504,9.3705,2.8582,40.9167,6.6098,4.1505
15,2020-04-30 00:00:00-04:00,282.2865725,283.9001655,278.9856345,279.3821106,3794300,0.7,0,282.4365723,283.4565979,,52.33950248,4.914531017,7.521396254,295.5607107,273.0747874,284.2206191,41.81351544,242.4071036,24.15763149,25.34187052,0,1.969812112,20.38220795,13.28953491,21.06416965,5/31/2021,45277,39415,5862,1663,1650,1233,1233,1220,2065,443,2.75,2.75,0.9976,0.447,2.8204,7.2641,2.1528,38.3905,7.5096,5.1923
16,2020-05-01 00:00:00-04:00,278.2572821,281.0603324,276.781991,278.3863831,2525400,0,0,280.9756592,282.0481293,,51.88296757,4.278341408,7.413670348,295.1852392,273.8431814,283.3230443,23.718511,259.6045333,14.00270518,22.3183648,0,0,20.67837593,13.41160225,21.31645155,2/28/2021,44769,39078,5691,1340,1319,971,971,951,1756,443,2.15,2.14,0.9904,0.4723,2.8185,6.0202,1.7681,36.437,0.0841,-1.2046
17,2020-05-04 00:00:00-04:00,279.3821311,281.7149247,276.6805219,280.7559814,2477500,0,0,280.314325,281.4138885,,43.36181117,5.034402801,6.779068907,294.4401617,273.4114575,282.9281116,22.55366611,260.3744455,25.06708088,56.44959466,0.654592325,0,12.83525265,14.66708766,6.660651405,11/30/2020,43208,37458,5750,1430,1420,1181,1181,1166,1834,443,2.64,2.62,0.9825,0.4981,2.5138,7.7144,1.9612,34.5611,5.9565,3.947
18,2020-05-05 00:00:00-04:00,281.2815533,285.6520766,279.7878316,283.9186401,2460900,0,0,280.99021,282.0848541,,48.77149178,5.864244978,6.716941588,294.2962529,273.3389749,283.0805006,22.70165231,260.3788483,39.83449638,80.67852804,3.937151864,0,17.14077366,9.353668486,29.39146682,8/31/2020,53383,46401,6982,1929,1869,1404,1404,1389,2434,442,3.14,3.13,1.1319,0.4068,3.7903,7.506,2.5272,42.3905,9.5551,7.6362
19,2020-05-06 00:00:00-04:00,285.7627631,286.7954582,282.6462185,284.8130493,2406700,0,0,281.4512329,282.1010132,283.2897385,39.44877582,4.149239733,6.201131188,290.9763546,275.0865072,283.3470465,22.77886679,260.5681797,44.97661361,80.40117263,0,2.858386917,9.156805128,13.42417887,18.89808586,5/31/2020,37266,32249,5017,1179,1163,852,852,838,1561,442,1.9,1.89,1.1087,0.5287,2.9291,4.9526,1.647,38.9629,4.2745,2.7026
20,2020-05-07 00:00:00-04:00,285.2279034,285.7165904,280.7928302,281.2261963,2601800,0,0,281.82005,282.1283112,283.2771667,39.26935187,4.923760191,6.019912401,288.0530017,276.4034497,283.0207619,22.51889356,260.5018683,33.35140952,20.52570411,0,0,9.432454507,11.66694751,10.59031435,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
21,2020-05-08 00:00:00-04:00,282.0561276,283.2363548,280.027627,282.0930176,2337400,0,0,282.561377,281.7685181,283.5820877,44.77411733,3.208727802,5.798987815,286.9780481,276.7633504,282.878032,22.56384527,260.3141867,52.28823672,30.51776149,0,0,9.791803616,12.11142431,10.59031435,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
22,2020-05-11 00:00:00-04:00,281.8164338,287.5239188,281.226306,286.1408386,1865900,0,0,283.6383484,281.9763367,284.1073334,60.62086629,6.297612767,5.412325129,287.3310842,277.6862934,283.3800022,22.86701362,260.5129886,82.04160222,81.54980857,4.287564035,0,16.14980718,12.97667828,10.89430753,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
23,2020-05-12 00:00:00-04:00,286.6110554,287.2657054,281.0326439,281.0787354,2264900,0,0,283.0703674,282.0302887,283.7115906,45.49674616,6.233061412,5.213573525,286.9642652,277.5427233,283.0259612,22.51449992,260.5114613,38.14211399,14.02171092,0,0,16.76546937,10.08089424,24.89936896,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
24,2020-05-13 00:00:00-04:00,281.0786992,282.5170999,276.7266069,278.5891724,2954900,0,0,281.825592,281.6384125,283.3693802,46.92658479,5.790493075,5.30848225,287.1521556,277.0171124,282.3433783,22.30397572,260.0394026,16.55216704,17.25027038,0,0,16.46572469,6.496609445,43.41507787,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
25,2020-05-14 00:00:00-04:00,277.5472769,279.2715121,271.5815909,276.3762512,3718900,0,0,280.855603,281.3378265,282.3972122,37.03943066,7.689921259,5.500953965,286.8780106,275.9605863,281.4253587,22.12446126,259.3008975,28.83130031,30.57016929,0,0,14.46816285,6.269300951,39.53647358,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
26,2020-05-15 00:00:00-04:00,275.7585004,276.4592418,272.7986889,275.8875732,4577200,0,0,279.6145142,281.0879456,281.5680374,38.25255423,3.660552902,5.387869506,286.8014466,274.8692818,280.5733917,22.07496552,258.4984262,27.00974653,39.37614926,0,1.217098038,11.77156019,8.014428206,18.98885163,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
27,2020-05-18 00:00:00-04:00,278.2019149,279.5573343,276.5422302,279.1608582,3987300,0,0,278.2185181,280.9284332,281.1711609,48.00498246,3.669761066,5.190677306,286.7691699,274.7046503,280.3560789,22.31376472,258.0423142,47.54178504,95.02897557,0,3.743541322,12.21875806,13.47035658,4.872096763,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
28,2020-05-19 00:00:00-04:00,280.8758413,284.9328697,279.5204219,280.8850708,3523000,0,0,278.1797852,280.6250763,281.3549652,47.63434221,5.772011562,5.106190141,286.568423,274.6735596,280.4374623,22.459173,257.9782893,58.35709791,66.64134991,5.375535408,0,19.94056407,13.69323748,18.57454793,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
29,2020-05-20 00:00:00-04:00,282.8583164,283.9187003,279.5666071,281.1433105,2827000,0,0,278.6906128,280.2581024,281.1795578,52.80152389,4.352093251,5.066016015,286.655722,274.8378606,280.5460543,22.48907286,258.0569814,59.97693503,54.83587184,0,0.046185149,20.09869518,11.08959811,28.88614964,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
30,2020-05-21 00:00:00-04:00,281.0325695,281.2630828,277.7684937,278.432373,2492100,0,0,279.1018372,279.9787201,281.0535156,50.06937047,3.494589094,5.010033707,286.6534027,274.8467498,280.2208726,22.29047747,257.9303951,42.97228233,9.266394578,0,0,20.32327877,11.2135137,28.88614964,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
31,2020-05-22 00:00:00-04:00,278.4693208,280.2488768,277.3812765,278.8565674,2366400,0,0,279.695636,279.6550751,280.7117966,46.95633038,2.86760034,4.855262102,286.603824,274.6249837,280.0109795,22.30718851,257.703791,45.63308781,22.56685382,0,0,20.00811699,11.57096784,26.7175227,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
